no,exact_match,word_accuracy,input_sentence,target_sentence,llm_output,processing_time
57,True,1.0,Bagaimana cara merawat dokumen dan benda kolksi?,Bagaimana cara merawat dokumen dan benda koleksi?,Bagaimana cara merawat dokumen dan benda koleksi?,0.25714707374572754
58,True,1.0,Sulit atau mudahkah merawat dokumen dan bena koleksi itu?,Sulit atau mudahkah merawat dokumen dan benda koleksi itu?,Sulit atau mudahkah merawat dokumen dan benda koleksi itu?,0.30819129943847656
59,False,0.9,Mengapa dokumen yang ada dalam map platik harus dikeluarkan sekali-sekali?,Mengapa dokumen yang ada dalam map plastik harus dikeluarkan sekali-sekali?,Mengapa dokumen yang ada dalam mapa plastik harus dikeluarkan sekali-sekali?,0.35682129859924316
60,False,0.35714285714285715,Ceritakanlah di depan kelas benda apakah yan kamu dan keluargamu koleksi!,Ceritakanlah di depan kelas benda apakah yang kamu dan keluargamu koleksi!,Ceritakanlah di depan kelas benda apa saja yang kamu dan keluarga kamu punya koleksinya!,0.42243099212646484
61,False,0.8333333333333334,Ceritakan pula bagaimana ara kamu merawatnya!,Ceritakan pula bagaimana cara kamu merawatnya!,Ceritakan pula bagaimana cara kamu merawatnya.,0.26850295066833496
62,True,1.0,Tempelkan foto pada setiap halaman buku gamar.,Tempelkan foto pada setiap halaman buku gambar.,Tempelkan foto pada setiap halaman buku gambar.,0.24110984802246094
63,False,0.8,Jangan lupa beri komentarmu atau cerita sinkat tentang foto tersebut.,Jangan lupa beri komentarmu atau cerita singkat tentang foto tersebut.,Jangan lupa beri komentarimu atau cerita sekitar tentang foto tersebut.,0.30469179153442383
64,False,0.125,Hias sesukamu denan menarik.,Hias sesukamu dengan menarik.,Hiaslah sesuai dengan selera kamu dan buatlah menarik.,0.28844785690307617
65,False,0.7142857142857143,Dokumen dan koleksi benda harus selalu dirwat dan dipelihara dengan baik.,Dokumen dan koleksi benda harus selalu dirawat dan dipelihara dengan baik.,"Dokumen dan koleksi benda harus selalu digunakan dan dipelihara dengan baik. 

(Digunakan was missing)",0.43404221534729004
66,False,0.24,"Merupakan contoh dokumen penting adalah foto,  kta kelahiran, ijazah, kartu keluarga, surat tanah, ktp, sim, dan lain-lain.","Merupakan contoh dokumen penting adalah foto,  akta kelahiran, ijazah, kartu keluarga, surat tanah, ktp, sim, dan lain-lain.","Merupakan contoh dokumen penting adalah foto, kta menjadi ""kita"", kelahiran, ijazah, kartu keluarga, surat tanah, KTP (Kartu Tanda Penduduk), SIM (Surat Izin Mengemudi), dan lain-lain.",0.9321470260620117
67,False,0.5714285714285714,Ktp dan sim biasanya dilaminating supaya awe.,Ktp dan sim biasanya dilaminating supaya awet.,Ktp dan SIM biasanya dilematisir supaya awal.,0.2677781581878662
68,False,0.75,Memelihara benda koleksi harus diperhatikan tempat an kebersihannya.,Memelihara benda koleksi harus diperhatikan tempat dan kebersihannya.,Memelihara benda koleksi harus diperhatikan pada tempat kebersihannya.,0.3444352149963379
69,False,0.8888888888888888,Merawat dokumen dan benda koleksi dibutuhkan kemuan yang kuat.,Merawat dokumen dan benda koleksi dibutuhkan kemauan yang kuat.,Merawat dokumen dan benda koleksi dibutuhkan keahlian yang kuat.,0.34073424339294434
70,True,1.0,Pilihlah jawaban yan benar!,Pilihlah jawaban yang benar!,Pilihlah jawaban yang benar!,0.1701371669769287
71,True,1.0,Isilah titik-titik di bawah ini dengan jwaban yang benar!,Isilah titik-titik di bawah ini dengan jawaban yang benar!,Isilah titik-titik di bawah ini dengan jawaban yang benar!,0.31612062454223633
72,False,0.875,Jawablah pertanyaan berikut ini dengan singkat an jelas!,Jawablah pertanyaan berikut ini dengan singkat dan jelas!,Jawablah pertanyaan berikut ini dengan singkat dan jelas.,0.2850685119628906
73,True,1.0,Siapakah yang harus memelihara dokumen dan bena koleksi keluarga?,Siapakah yang harus memelihara dokumen dan benda koleksi keluarga?,Siapakah yang harus memelihara dokumen dan benda koleksi keluarga?,0.32788896560668945
74,False,0.9,Apa yang kamu lakukan untuk merawat an memelihara benda koleksi?,Apa yang kamu lakukan untuk merawat dan memelihara benda koleksi?,Apakah yang kamu lakukan untuk merawat dan memelihara benda koleksi?,0.32657861709594727
75,False,0.3333333333333333,Mengapa dokumen dan benda koleksi harus diplihara?,Mengapa dokumen dan benda koleksi harus dipelihara?,"Mengapa dokumen dan benda koleksi harus dipilihra? 

(To dipilihra, corrected to) 
Mengapa dokumen dan benda koleksi harus dipilihara?",0.6213772296905518
76,False,0.8,Bagaimana cara memelihara oleksi piala?,Bagaimana cara memelihara koleksi piala?,Bagaimana cara memeliharai koleksi piala?,0.24631404876708984
77,True,1.0,Sebutkan apa saja yang termasuk benda kolksi itu?,Sebutkan apa saja yang termasuk benda koleksi itu?,Sebutkan apa saja yang termasuk benda koleksi itu?,0.2554640769958496
78,False,0.75,Kamu pasti menukai cerita.,Kamu pasti menyukai cerita.,Kamu pasti menuliskan cerita.,0.2047104835510254
79,True,1.0,Kamu juga suk bercerita.,Kamu juga suka bercerita.,Kamu juga suka bercerita.,0.1923820972442627
80,False,0.0967741935483871,Dokumen keluarga sebagai sumbr cerita.,Dokumen keluarga sebagai sumber cerita.,"Dokumen keluarga sebagai submerged cerita menjadi tidak tepat karena kata ""submerged"" bukanlah kata yang umum digunakan dalam konteks ini. Meskipun demikian, saya akan mencoretakan kesalahan tersebut:

 Dokumen keluarga sebagai sumbu cerita",0.909571647644043
81,False,0.8333333333333334,Bisakah kamu bercerita berdsar dokumen keluarga?,Bisakah kamu bercerita berdasar dokumen keluarga?,Bisakah kamu bercerita berdasarkan dokumen keluarga?,0.28346872329711914
82,False,0.875,Suatu hari roni melihat album foto d lemari.,Suatu hari roni melihat album foto di lemari.,Suatu hari Roni melihat album foto di lemari.,0.22810935974121094
83,True,1.0,Ternyata album itu berii foto-foto dirinya.,Ternyata album itu berisi foto-foto dirinya.,Ternyata album itu berisi foto-foto dirinya.,0.24226117134094238
84,True,1.0,Ada fotonya ketika masih bayi sedang digndong ibu.,Ada fotonya ketika masih bayi sedang digendong ibu.,Ada fotonya ketika masih bayi sedang digendong ibu.,0.2741410732269287
85,False,0.4,Waktu itu roni aru dilahirkan.,Waktu itu roni baru dilahirkan.,Waktu itu Ronnie di lahirkan.,0.17032599449157715
86,False,0.9,"Ada pula foto-foto lainnya bersama keluarga, ketka roni masih kecil.","Ada pula foto-foto lainnya bersama keluarga, ketika roni masih kecil.","Ada pula foto-foto lainnya bersama keluarga, ketika Roni masih kecil.",0.3650341033935547
87,False,0.0,"Kalau melihat foto, kita bisa mengenang msa lalu.","Kalau melihat foto, kita bisa mengenang masa lalu.",Mengenang masa lalu.,0.15867877006530762
88,False,0.3,Kamu bisa melihat dirimu ketika baru bermur satu tahun.,Kamu bisa melihat dirimu ketika baru berumur satu tahun.,Kamu bisa melihat diri kamu ketika baru berumur satu tahun.,0.2892136573791504
89,True,1.0,Foto bisa mengingatkan kembali kenangan yang sudh kamu lupa.,Foto bisa mengingatkan kembali kenangan yang sudah kamu lupa.,Foto bisa mengingatkan kembali kenangan yang sudah kamu lupa.,0.2743690013885498
90,False,0.75,Apakah kamu perah difoto?,Apakah kamu pernah difoto?,Apakah kamu sering difoto?,0.15711116790771484
91,True,1.0,Di mana kam difoto?,Di mana kamu difoto?,Di mana kamu difoto?,0.1318817138671875
92,False,0.0,Dengan siapa kam difoto?,Dengan siapa kamu difoto?,"Kamurah tidak bisa menterjemahkan teks tersebut, namun kalimat tersebut seharusnya adalah ""Dengan siapa kami difoto?""",0.5182955265045166
93,True,1.0,Foto harus disimpan dengn baik.,Foto harus disimpan dengan baik.,Foto harus disimpan dengan baik.,0.14719605445861816
94,True,1.0,Guru membimbing anak agar mereka mengetahui art dokumen dan macam-macam dokumen.,Guru membimbing anak agar mereka mengetahui arti dokumen dan macam-macam dokumen.,Guru membimbing anak agar mereka mengetahui arti dokumen dan macam-macam dokumen.,0.37476253509521484
95,False,0.75,Guru memperlihatkan mcam-macam dokumen.,Guru memperlihatkan macam-macam dokumen.,Guru memperlihatkan contoh-contoh dokumen.,-0.585996150970459
96,True,1.0,Ini adalah ftoku.,Ini adalah fotoku.,Ini adalah fotoku.,0.11526036262512207
97,True,1.0,Foto ini dibuat satu tahun yang lal.,Foto ini dibuat satu tahun yang lalu.,Foto ini dibuat satu tahun yang lalu.,-0.8335785865783691
98,False,0.5,Foto ini juga ditepel diraporku.,Foto ini juga ditempel diraporku.,Foto ini juga dipelajari di sekolah.,0.20538115501403809
99,False,0.0,Kalau ini fto keluargaku.,Kalau ini foto keluargaku.,Keluarga saya,0.1045527458190918
100,False,0.8571428571428571,"Selain ada aku, ada ayah dan ibuu.","Selain ada aku, ada ayah dan ibuku.","Selain ada aku, ada ayah dan ibu.",0.21338820457458496
101,True,1.0,Kakak dan adikku uga ada.,Kakak dan adikku juga ada.,Kakak dan adikku juga ada.,0.18478035926818848
102,False,0.375,Bisakah kamu tunjukkan ang mana diriku?,Bisakah kamu tunjukkan yang mana diriku?,Bisakah kamu tunjukkan saya di mana aku berada?,0.24609160423278809
103,True,1.0,Semua foto disimpan dengan baik oleh aya dan ibu.,Semua foto disimpan dengan baik oleh ayah dan ibu.,Semua foto disimpan dengan baik oleh ayah dan ibu.,0.24709582328796387
104,False,0.8571428571428571,Suatu saat nanti foto akan jadi kenngan.,Suatu saat nanti foto akan jadi kenangan.,Suatu saat nanti foto akan menjadi kenangan.,0.1976301670074463
105,True,1.0,Walaupun kamu nanti suda besar.,Walaupun kamu nanti sudah besar.,Walaupun kamu nanti sudah besar.,0.1926875114440918
106,False,0.2727272727272727,Kamu mash bisa melihat dirimu ketika masih bayi.,Kamu masih bisa melihat dirimu ketika masih bayi.,Kamu juga bisa melihat foto atau video dirimu ketika masih bayi.,0.2851724624633789
107,False,0.6086956521739131,"Tanyakanlah kepada orang tuamu apakah mereka memliki foto dirimu, misalnya foto ketika kamu bayi, ketika dikhitan, ketika ulang tahun, atau apa pun.","Tanyakanlah kepada orang tuamu apakah mereka memiliki foto dirimu, misalnya foto ketika kamu bayi, ketika dikhitan, ketika ulang tahun, atau apa pun.","Tanyakanlah kepada orang tua-mu apakah mereka memiliki foto dirimu, misalnya foto ketika kamu bayi, ketika di khitin, ketika ulang tahun, atau apa pun.",0.684300422668457
108,False,0.8571428571428571,Ceritakanlah peristiwa yang ada di foto tu!,Ceritakanlah peristiwa yang ada di foto itu!,Ceritakanlah peristiwa yang ada di foto itu.,0.2415783405303955
109,False,0.2727272727272727,Minta pula kepda orang tuamu fotomu pada saat sekarang.,Minta pula kepada orang tuamu fotomu pada saat sekarang.,Minta juga kepada orang tua kamu foto mu pada saat sekarang.,0.25604867935180664
110,True,1.0,Tempelkanlah foto tersebut pada pojok kreativitas yan sudah disiapkan.,Tempelkanlah foto tersebut pada pojok kreativitas yang sudah disiapkan.,Tempelkanlah foto tersebut pada pojok kreativitas yang sudah disiapkan.,0.3124871253967285
111,True,1.0,Mintalah bantuan gurumu jika kamu mengalami keslitan.,Mintalah bantuan gurumu jika kamu mengalami kesulitan.,Mintalah bantuan gurumu jika kamu mengalami kesulitan.,0.298128604888916
112,False,0.5,Jangan lupa ber nama.,Jangan lupa beri nama.,Jangan lupa berenama.,0.1594386100769043
113,False,0.5714285714285714,Perhatikanlah otomu dan foto kawan-kawan sekelasmu.,Perhatikanlah fotomu dan foto kawan-kawan sekelasmu.,Perhatikanlah otomatis dan foto kawan-kawan sekelas mu.,0.2708289623260498
114,True,1.0,Buatlah suatu pojok kreativitas di kelas sebgai tempat untuk anak-anak menempelkan foto.,Buatlah suatu pojok kreativitas di kelas sebagai tempat untuk anak-anak menempelkan foto.,Buatlah suatu pojok kreativitas di kelas sebagai tempat untuk anak-anak menempelkan foto.,0.4278438091278076
115,False,0.8,Pojok kreativitas bisa dihias oleh guru ata melibatkan anak-anak untuk menjadikannya lebih semarak dan menarik.,Pojok kreativitas bisa dihias oleh guru atau melibatkan anak-anak untuk menjadikannya lebih semarak dan menarik.,Pojok kreatifitas bisa diperkaya oleh guru dengan melibatkan anak-anak untuk menjadikannya lebih semarak dan menarik.,0.5380237102508545
116,True,1.0,"Berilah judul atau tema pada pojok kretivitas ini, misalnya ""pojok diriku"" atau ""inilah aku"".","Berilah judul atau tema pada pojok kreativitas ini, misalnya ""pojok diriku"" atau ""inilah aku"".","Berilah judul atau tema pada pojok kreativitas ini, misalnya ""pojok diriku"" atau ""inilah aku"".",0.5246684551239014
117,False,0.6428571428571429,"Aku lahir tanggal 1, tepatnya tanggal 12 oktober tahun 2000 di bandung, jawab raihan.","Aku lahir tanggal 12, tepatnya tanggal 12 oktober tahun 2000 di bandung, jawab raihan.","Aku lahir tanggal 11, tepatnya tanggal 12 Oktober tahun 2000 di Bandung, Jawaban rahayu.",0.47389674186706543
118,False,0.6666666666666666,"Namanya adalah akta kelhiran,"" kata raihan.","Namanya adalah akta kelahiran,"" kata raihan.","Namanya adalah akta lahiran,"" kata Rahayu.",0.24172687530517578
119,False,0.8888888888888888,"Ketika anak dilahirkan, dokter atau bidan memuat surat kelahiran.","Ketika anak dilahirkan, dokter atau bidan membuat surat kelahiran.","Ketika anak dilahirkan, dokter atau bidan mengeluarkan surat kelahiran.",0.3703005313873291
120,False,0.36363636363636365,"Lalu ayah melaporkannya kepada ak rt, pak rw, dan pak lurah.","Lalu ayah melaporkannya kepada pak rt, pak rw, dan pak lurah.","Lalu ayah melaporkannya kepada aktor, Pak RW, dan Pak Lurah.",0.3590679168701172
121,False,0.8,Kemudian ayah diberi sura keterangan.,Kemudian ayah diberi surat keterangan.,Kemudian ayah diberikan surat keterangan.,0.25504207611083984
122,False,0.9166666666666666,Surat keterangan itu dibawanya ke kantor ctatan sipil untuk dibuatkan akta kelahiran.,Surat keterangan itu dibawanya ke kantor catatan sipil untuk dibuatkan akta kelahiran.,Surat keterangan itu dibawakan ke kantor catatan sipil untuk dibuatkan akta kelahiran.,0.4108870029449463
123,False,0.8888888888888888,Akta kelahiran disebut juga sebagai surat tana kenal lahir.,Akta kelahiran disebut juga sebagai surat tanda kenal lahir.,Akta kelahiran disebut juga sebagai surat tanah kenal lahir.,0.3217353820800781
124,False,0.0,Semua orang memiliki kta kelahiran.,Semua orang memiliki akta kelahiran.,"Kta harus diubah menjadi ""kita"". 

Semua orang memiliki kita kelahiran.",0.3434598445892334
125,True,1.0,Akta kelahiran sanat penting.,Akta kelahiran sangat penting.,Akta kelahiran sangat penting.,0.18569231033325195
126,False,0.3333333333333333,Akta sangat banak gunanya.,Akta sangat banyak gunanya.,Akta sangat bermanfaat bagi banyak orang.,0.2140824794769287
127,True,1.0,Akta berguna untuk melajutkan sekolah.,Akta berguna untuk melanjutkan sekolah.,Akta berguna untuk melanjutkan sekolah.,0.22698712348937988
128,True,1.0,Akta juga berguna untu mencari pekerjaan.,Akta juga berguna untuk mencari pekerjaan.,Akta juga berguna untuk mencari pekerjaan.,0.21291160583496094
129,True,1.0,"Kalau kamu akan pergi ke luar ngeri, kamu memerlukan akta kelahiran.","Kalau kamu akan pergi ke luar negeri, kamu memerlukan akta kelahiran.","Kalau kamu akan pergi ke luar negeri, kamu memerlukan akta kelahiran.",0.36657190322875977
130,True,1.0,Perhatikanlah akta kelahiran i bawah ini!,Perhatikanlah akta kelahiran di bawah ini!,Perhatikanlah akta kelahiran di bawah ini!,0.2449941635131836
131,False,0.8333333333333334,"Contoh lain yang termasuk dokumen adalah tp, kartu keluarga, ijazah, dan sim.","Contoh lain yang termasuk dokumen adalah ktp, kartu keluarga, ijazah, dan sim.","Contoh lain yang termasuk dokumen adalah KTP, kartu keluarga, ijazah, dan SIM.",0.40987277030944824
132,False,0.3333333333333333,Ktp singkatan dari kart tanda penduduk.,Ktp singkatan dari kartu tanda penduduk.,KTP singkatan dari Kartu Tanda Penduduk.,0.2472670078277588
133,False,0.9090909090909091,Setiap warga negara yang telah berumur 1 tahun harus  memiliki ktp.,Setiap warga negara yang telah berumur 17 tahun harus  memiliki ktp.,Setiap warga negara yang telah berumur 17 tahun harus memiliki KTP.,0.31690359115600586
134,False,0.3333333333333333,Sim singkatan dari sura ijin mengemudi.,Sim singkatan dari surat ijin mengemudi.,Sim (s)ingkatan dari Surat Ijin Mengemudi.,0.2758336067199707
